symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000400,许继电气,0,2024-05-16,2024-05-17,2024-05-20,2,27.53,27.75024,0.638768,止盈
000039,中集集团,0,2024-05-17,2024-05-20,2024-05-20,1,9.39,9.46512,0.638768,止盈
000166,申万宏源,0,2024-05-17,2024-05-20,2024-05-20,1,4.67,4.70736,0.638768,止盈
000039,中集集团,0,2024-05-21,2024-05-22,2024-05-22,1,9.37,9.44496,0.638768,止盈
000027,深圳能源,0,2024-05-22,2024-05-23,2024-05-24,2,7.36,7.41888,0.638768,止盈
000400,许继电气,0,2024-05-22,2024-05-23,2024-05-24,2,27.23,27.44784,0.638768,止盈
000409,云鼎科技,0,2024-05-22,2024-05-23,2024-05-24,2,8.66,8.3136,-4.153554,止损
000089,深圳机场,0,2024-05-23,2024-05-24,2024-05-24,1,7.1,7.1568,0.638768,止盈
000089,深圳机场,0,2024-05-27,2024-05-28,2024-06-03,5,7.12,6.8352,-4.153554,止损
000039,中集集团,0,2024-05-29,2024-05-30,2024-05-30,1,9.38,9.45504,0.638768,止盈
000415,渤海租赁,0,2024-05-30,2024-05-31,2024-05-31,1,2.55,2.5704,0.638768,止盈
000422,湖北宜化,0,2024-06-03,2024-06-04,2024-06-04,1,12.5,12.6,0.638768,止盈
000415,渤海租赁,0,2024-06-04,2024-06-05,2024-06-06,2,2.54,2.4384,-4.153554,止损
000422,湖北宜化,0,2024-06-13,2024-06-14,2024-06-14,1,12.59,12.69072,0.638768,止盈
000039,中集集团,0,2024-06-19,2024-06-20,2024-06-20,1,9.82,9.89856,0.638768,止盈
000400,许继电气,0,2024-06-26,2024-06-27,2024-06-27,1,32.38,32.63904,0.638768,止盈
000422,湖北宜化,0,2024-07-04,2024-07-05,2024-07-08,2,12.66,12.1536,-4.153554,止损
000021,深科技,0,2024-07-12,2024-07-15,2024-07-16,2,15.12,15.24096,0.638768,止盈
000415,渤海租赁,0,2024-07-25,2024-07-26,2024-07-26,1,2.6,2.6208,0.638768,止盈
000020,深华发Ａ,0,2024-10-15,2024-10-16,2024-10-16,1,13.43,13.53744,0.638768,止盈
000020,深华发Ａ,0,2024-10-21,2024-10-22,2024-10-22,1,13.97,14.08176,0.638768,止盈
000415,渤海租赁,0,2024-10-24,2024-10-25,2024-10-25,1,2.74,2.76192,0.638768,止盈
000333,美的集团,0,2024-10-25,2024-10-28,2024-10-30,3,75.49,72.4704,-4.153554,止损
000166,申万宏源,0,2024-10-28,2024-10-29,2024-10-29,1,5.34,5.38272,0.638768,止盈
000049,德赛电池,0,2024-10-30,2024-10-31,2024-10-31,1,25.05,25.2504,0.638768,止盈
000019,深粮控股,0,2024-11-01,2024-11-04,2024-11-05,2,6.66,6.71328,0.638768,止盈
000062,深圳华强,0,2024-11-04,2024-11-05,2024-11-05,1,31.3,31.5504,0.638768,止盈
