symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
000555,神州信息,软件服务,20260413,-13.63,30日跌-13.6%,2.5,,15.08,0.4,1.78,146.97,2.61,,0,30日跌-13.6% 连续2日地量(<15.0%分位) 放量 阳线确认,000555.SZ
002163,海南发展,装修装饰,20260413,-13.6,30日跌-13.6%,6.67,,12.77,0.31,2.47,102.61,2.54,,0,30日跌-13.6% 连续2日地量(<15.0%分位) 放量 阳线确认,002163.SZ
300320,海达股份,橡胶,20260413,-13.6,30日跌-13.6%,4.17,,9.78,0.93,1.31,47.47,0.62,,0,30日跌-13.6% 连续2日地量(<15.0%分位) 放量 阳线确认,300320.SZ
603396,金辰股份,专用机械,20260413,-13.6,30日跌-13.6%,5.83,,34.87,1.69,2.88,48.3,1.38,,0,30日跌-13.6% 连续2日地量(<15.0%分位) 放量 阳线确认,603396.SH
920427,华维设计,建筑工程,20260413,-13.56,30日跌-13.6%,7.5,,11.98,0.08,1.4,6.1,0.09,,0,30日跌-13.6% 连续2日地量(<15.0%分位) 放量 阳线确认,920427.BJ
000158,常山北明,软件服务,20260413,-13.5,30日跌-13.5%,8.33,,17.56,0.06,1.02,278.84,2.86,,0,30日跌-13.5% 连续2日地量(<15.0%分位) 放量 阳线确认,000158.SZ
688004,博汇科技,软件服务,20260413,-13.46,60日跌-13.5%,3.33,,22.19,0.23,1.43,17.77,0.25,,0,60日跌-13.5% 连续2日地量(<15.0%分位) 放量 阳线确认,688004.SH
688737,中自科技,汽车配件,20260413,-13.43,30日跌-13.4%,5.83,,24.76,0.98,1.08,29.6,0.32,,0,30日跌-13.4% 连续2日地量(<15.0%分位) 放量 阳线确认,688737.SH
300600,国瑞科技,船舶,20260413,-13.42,30日跌-13.4%,10.0,,12.65,0.4,1.16,37.22,0.43,,0,30日跌-13.4% 连续2日地量(<15.0%分位) 放量 阳线确认,300600.SZ
600635,大众公用,供气供热,20260413,-13.38,30日跌-13.4%,8.33,,5.44,0.37,1.31,131.58,1.73,,0,30日跌-13.4% 连续2日地量(<15.0%分位) 放量 阳线确认,600635.SH
600038,中直股份,航空,20260413,-13.33,30日跌-13.3%,7.5,,33.75,0.24,0.73,225.77,1.64,,0,30日跌-13.3% 连续2日地量(<15.0%分位) 放量 阳线确认,600038.SH
600530,交大昂立,医疗保健,20260413,-13.32,30日跌-13.3%,12.5,,5.27,0.19,0.69,40.84,0.28,,0,30日跌-13.3% 连续2日地量(<15.0%分位) 放量 阳线确认,600530.SH
300250,初灵信息,软件服务,20260413,-13.26,30日跌-13.3%,10.0,,21.45,0.33,2.47,33.75,0.83,,0,30日跌-13.3% 连续2日地量(<15.0%分位) 放量 阳线确认,300250.SZ
688680,海优新材,塑料,20260413,-13.22,30日跌-13.2%,12.5,,49.9,0.81,2.7,48.69,1.31,,0,30日跌-13.2% 连续2日地量(<15.0%分位) 放量 阳线确认,688680.SH
601700,风范股份,电气设备,20260413,-13.07,30日跌-13.1%,5.83,,5.19,0.39,1.08,59.1,0.64,,0,30日跌-13.1% 连续2日地量(<15.0%分位) 放量 阳线确认,601700.SH
002911,佛燃能源,供气供热,20260413,-13.0,30日跌-13.0%,5.0,,14.05,0.64,0.36,178.02,0.65,,0,30日跌-13.0% 连续2日地量(<15.0%分位) 放量 阳线确认,002911.SZ
