代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
600824,益民集团,4.83,-2.4242,32688000.0,7.1001031747861125,-6.420197920328342,A:机构锁仓,"中盘锁仓(市值50.9亿): 主力7.1001031747861125%, 小单-6.420197920328342%"
603533,掌阅科技,19.46,1.0909,14408500.0,7.013164310776111,-7.419201140983929,A:机构锁仓,"中盘锁仓(市值85.4亿): 主力7.013164310776111%, 小单-7.419201140983929%"
000528,柳工,12.1,-4.0444,57571799.999999985,7.007754012051702,-7.426149005184198,"A:机构锁仓,B:低位起爆","涨幅-4.0444%, 主力流入5757万, 昨日流出-5045万 | 中盘锁仓(市值246.0亿): 主力7.007754012051702%, 小单-7.426149005184198%"
301181,标榜股份,44.26,-4.5504,28221699.99999999,6.998312055249587,-7.135690911895655,A:机构锁仓,"小盘锁仓(市值39.9亿): 主力6.998312055249587%, 小单-7.135690911895655%"
600481,双良节能,6.41,9.9485,73159899.99999999,6.960378750916463,-4.023658127572402,A:机构锁仓,"中盘锁仓(市值120.1亿): 主力6.960378750916463%, 小单-4.023658127572402%"
002486,嘉麟杰,3.12,-0.9524,4840799.999999999,6.917454693908416,-7.588365489394697,A:机构锁仓,"小盘锁仓(市值25.6亿): 主力6.917454693908416%, 小单-7.588365489394697%"
603619,中曼石油,23.12,1.049,16108599.999999996,6.912853204438283,-9.223646237348584,A:机构锁仓,"中盘锁仓(市值106.9亿): 主力6.912853204438283%, 小单-9.223646237348584%"
000510,新金路,12.08,1.3423,69039700.0,6.843020373999233,-6.893827840481734,A:机构锁仓,"中盘锁仓(市值73.3亿): 主力6.843020373999233%, 小单-6.893827840481734%"
301413,安培龙,123.75,0.2105,51521100.000000045,6.841550610234899,-7.226353057355367,A:机构锁仓,"中盘锁仓(市值72.7亿): 主力6.841550610234899%, 小单-7.226353057355367%"
002579,中京电子,12.25,3.9016,53356599.99999999,6.813887603151062,-6.688468835556146,A:机构锁仓,"中盘锁仓(市值71.5亿): 主力6.813887603151062%, 小单-6.688468835556146%"
001306,,86.6,3.8494,11388999.999999998,6.797521268858539,-12.031893165240087,A:机构锁仓,"小盘锁仓(市值13.4亿): 主力6.797521268858539%, 小单-12.031893165240087%"
002888,惠威科技,20.07,-0.3476,5765599.999999999,6.788736523420156,-10.487830227800757,A:机构锁仓,"小盘锁仓(市值15.0亿): 主力6.788736523420156%, 小单-10.487830227800757%"
002743,富煌钢构,5.5,1.476,4312399.999999999,6.788636272475117,-9.610885393450303,A:机构锁仓,"小盘锁仓(市值23.9亿): 主力6.788636272475117%, 小单-9.610885393450303%"
603099,长白山,44.9,-2.2213,20872499.999999993,6.734801095454075,-3.0400096778502874,A:机构锁仓,"中盘锁仓(市值119.7亿): 主力6.734801095454075%, 小单-3.0400096778502874%"
603068,博通集成,37.53,0.5897,11815000.0,6.727774140439447,-5.582657441630834,"A:机构锁仓,B:低位起爆","涨幅0.5897%, 主力流入1182万, 昨日流出-1083万 | 中盘锁仓(市值56.5亿): 主力6.727774140439447%, 小单-5.582657441630834%"
605365,立达信,28.0,2.489,33676399.999999985,6.71493993659661,-1.1308346160046858,B:低位起爆,"涨幅2.489%, 主力流入3368万, 昨日流出-808万"
301357,北方长龙,145.05,2.7266,39553200.00000001,6.711673698099017,-4.645510847807182,"A:机构锁仓,B:低位起爆","小盘锁仓(市值34.5亿): 主力6.711673698099017%, 小单-4.645510847807182% | 涨幅2.7266%, 主力流入3955万, 昨日流出-1063万"
002617,露笑科技,8.2,3.4048,79038400.00000001,6.695288667682978,-6.71403483893844,A:机构锁仓,"中盘锁仓(市值155.1亿): 主力6.695288667682978%, 小单-6.71403483893844%"
600096,云天化,32.58,-0.6707,140944300.0000001,6.642084446640251,-4.558690026750276,"A:机构锁仓,B:低位起爆","大盘锁仓(市值593.9亿): 主力6.642084446640251%, 小单-4.558690026750276% | 涨幅-0.6707%, 主力流入14094万, 昨日流出-4769万"
300690,双一科技,33.44,6.5987,40860600.00000001,6.589357713659074,-4.414433931903405,A:机构锁仓,"小盘锁仓(市值37.0亿): 主力6.589357713659074%, 小单-4.414433931903405%"
600615,鑫源智造,11.31,0.9821,3629199.9999999986,6.559425873472084,-5.5073367626630665,A:机构锁仓,"小盘锁仓(市值25.5亿): 主力6.559425873472084%, 小单-5.5073367626630665%"
